ai,std_ai,t_value,p_values,significance
31.95410711342779,0.3705096167798743,86.24366458053971,0.0,1
31.95410711342779,0.3705096167798743,86.24366458053971,0.0,1
34.47777011458508,0.42645137653956827,80.84806852859592,0.0,1
34.47777011458508,0.42645137653956827,80.84806852859592,0.0,1
34.47777011458508,0.42645137653956827,80.84806852859592,0.0,1
36.84317662226895,0.4063051477867854,90.67858682805306,0.0,1
36.84317662226895,0.4063051477867854,90.67858682805306,0.0,1
36.84317662226895,0.4063051477867854,90.67858682805306,0.0,1
39.574313971527616,0.3728718137505341,106.13383074861322,0.0,1
39.574313971527616,0.3728718137505341,106.13383074861322,0.0,1
39.574313971527616,0.3728718137505341,106.13383074861322,0.0,1
42.07893949736025,0.4026077901015241,104.5159595316061,0.0,1
42.07893949736025,0.4026077901015241,104.5159595316061,0.0,1
42.07893949736025,0.4026077901015241,104.5159595316061,0.0,1
44.917059389914755,0.4119111129068776,109.045514875607,0.0,1
44.917059389914755,0.4119111129068776,109.045514875607,0.0,1
44.917059389914755,0.4119111129068776,109.045514875607,0.0,1
47.13346359571084,0.47175098935154036,99.91174297376584,0.0,1
47.13346359571084,0.47175098935154036,99.91174297376584,0.0,1
47.13346359571084,0.47175098935154036,99.91174297376584,0.0,1
50.191825613887005,0.45674631930881754,109.88993997771236,0.0,1
50.191825613887005,0.45674631930881754,109.88993997771236,0.0,1
50.191825613887005,0.45674631930881754,109.88993997771236,0.0,1
52.8380018561636,0.5169651868224724,102.20804650489619,0.0,1
52.8380018561636,0.5169651868224724,102.20804650489619,0.0,1
52.8380018561636,0.5169651868224724,102.20804650489619,0.0,1
1.3686118583451035,0.2818237338249456,4.856268986895245,1.2999182272821486e-06,1
1.3686118583451035,0.2818237338249456,4.856268986895245,1.2999182272821486e-06,1
1.3686118583451035,0.2818237338249456,4.856268986895245,1.2999182272821486e-06,1
1.8285618382896531,0.27465890739652693,6.6575734084958915,3.6875169584504874e-11,1
1.8285618382896531,0.27465890739652693,6.6575734084958915,3.6875169584504874e-11,1
1.8285618382896531,0.27465890739652693,6.6575734084958915,3.6875169584504874e-11,1
3.1071011055214237,0.280104496169168,11.092649878939831,0.0,1
3.1071011055214237,0.280104496169168,11.092649878939831,0.0,1
3.1071011055214237,0.280104496169168,11.092649878939831,0.0,1
4.387754129029678,0.27365320960217976,16.03399476077158,0.0,1
4.387754129029678,0.27365320960217976,16.03399476077158,0.0,1
4.387754129029678,0.27365320960217976,16.03399476077158,0.0,1
4.915397645610593,0.27306565462031623,18.00079051481301,0.0,1
4.915397645610593,0.27306565462031623,18.00079051481301,0.0,1
4.915397645610593,0.27306565462031623,18.00079051481301,0.0,1
6.685782380547451,0.27650087004848334,24.179968690062804,0.0,1
6.685782380547451,0.27650087004848334,24.179968690062804,0.0,1
6.685782380547451,0.27650087004848334,24.179968690062804,0.0,1
7.275120659507516,0.2858725329504805,25.448827085349013,0.0,1
7.275120659507516,0.2858725329504805,25.448827085349013,0.0,1
7.275120659507516,0.2858725329504805,25.448827085349013,0.0,1
9.276446671313202,0.2804398103775847,33.07820904180251,0.0,1
9.276446671313202,0.2804398103775847,33.07820904180251,0.0,1
9.276446671313202,0.2804398103775847,33.07820904180251,0.0,1
10.050789281542796,0.28321577830679445,35.48809795002044,0.0,1
10.050789281542796,0.28321577830679445,35.48809795002044,0.0,1
10.050789281542796,0.28321577830679445,35.48809795002044,0.0,1
12.055897799003507,0.27828115743139603,43.32272407619124,0.0,1
12.055897799003507,0.27828115743139603,43.32272407619124,0.0,1
12.055897799003507,0.27828115743139603,43.32272407619124,0.0,1
12.637345837159305,0.29804448185472876,42.40087170383826,0.0,1
12.637345837159305,0.29804448185472876,42.40087170383826,0.0,1
12.637345837159305,0.29804448185472876,42.40087170383826,0.0,1
14.924517882237042,0.3207840027598255,46.52513140878535,0.0,1
14.924517882237042,0.3207840027598255,46.52513140878535,0.0,1
14.924517882237042,0.3207840027598255,46.52513140878535,0.0,1
16.328366503931253,0.30043198985491343,54.349626721896875,0.0,1
16.328366503931253,0.30043198985491343,54.349626721896875,0.0,1
16.328366503931253,0.30043198985491343,54.349626721896875,0.0,1
17.711845483733075,0.3272342310730498,54.12589454854187,0.0,1
17.711845483733075,0.3272342310730498,54.12589454854187,0.0,1
17.711845483733075,0.3272342310730498,54.12589454854187,0.0,1
19.55361146675998,0.3696710446020678,52.89462551173964,0.0,1
19.55361146675998,0.3696710446020678,52.89462551173964,0.0,1
19.55361146675998,0.3696710446020678,52.89462551173964,0.0,1
21.032813527702004,0.330415187938385,63.655710437935895,0.0,1
21.032813527702004,0.330415187938385,63.655710437935895,0.0,1
21.032813527702004,0.330415187938385,63.655710437935895,0.0,1
23.262348867671236,0.31241683117599633,74.4593330010657,0.0,1
23.262348867671236,0.31241683117599633,74.4593330010657,0.0,1
23.262348867671236,0.31241683117599633,74.4593330010657,0.0,1
24.786151368783273,0.339304834122204,73.04980323344374,0.0,1
24.786151368783273,0.339304834122204,73.04980323344374,0.0,1
24.786151368783273,0.339304834122204,73.04980323344374,0.0,1
26.889536824422894,0.3487558301554772,77.10132562496632,0.0,1
26.889536824422894,0.3487558301554772,77.10132562496632,0.0,1
26.889536824422894,0.3487558301554772,77.10132562496632,0.0,1
28.73847437652752,0.32355283653843775,88.82158068521034,0.0,1
28.73847437652752,0.32355283653843775,88.82158068521034,0.0,1
28.73847437652752,0.32355283653843775,88.82158068521034,0.0,1
30.650212427853454,0.3579126525584169,85.63601261022998,0.0,1
30.650212427853454,0.3579126525584169,85.63601261022998,0.0,1
