id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_x1,beta_x2,beta_x3,beta_x4,se_Intercept,se_x1,se_x2,se_x3,se_x4,t_Intercept,t_x1,t_x2,t_x3,t_x4,p_Intercept,p_x1,p_x2,p_x3,p_x4,sumW_Intercept,sumW_x1,sumW_x2,sumW_x3,sumW_x4
275.0,10.0,5.0,-1.236437349383746,0.18237011105484946,-1.2510760663480407,0.014638716964294751,0.8548457291091964,-0.809884716178324,0.10615576930911036,0.10908942995249797,0.10959968317788807,0.023672605307563446,0.01525822130756161,0.009911155146064067,0.0100263270611787,0.010110980972330935,0.00766806788084576,-53.07857972783266,10.710736311222725,10.880298367174285,10.839668621453404,3.0871668946353203,2.7117206343391516e-279,2.8134470088872296e-25,5.489938721593183e-26,8.135436501319323e-26,0.002082717594238551,16.781253287500142,26.196805089280375,26.196805089280375,26.196805089280375,50.719209136320394
276.0,10.0,6.0,-1.0725850234018077,-0.563544532012589,-0.9721446438992858,-0.10044037950252194,0.8986260658659613,-0.7688325855422237,0.10365118155700156,0.10155922279715084,0.10281694693244825,0.02078264661204931,0.01454290137356255,0.010043584531773989,0.010352465267045374,0.010027501534849116,0.007756938032957514,-52.86651994627975,10.320138316065306,9.81014861459527,10.253496005472847,2.67923329073256,4.14381253773335e-278,1.1263852102518612e-23,1.1870089963285368e-21,2.0918209055745618e-23,0.007513926803126616,16.781253287500142,26.196805089280414,26.196805089280414,26.196805089280414,51.05623637017927
277.0,10.0,7.0,-0.9712754430675302,-0.16455066948602404,-0.9234897456624465,-0.04778569740508376,0.9214600728098511,-0.7198396412831572,0.10107866886258934,0.09598808067091638,0.09704650274910791,0.018056342343338663,0.013878102598194511,0.010195258077820592,0.010549614310674376,0.009888249026076466,0.008128473785098945,-51.868736103507814,9.914282511639627,9.098728905548057,9.8143263274605,2.2213693272209856,1.6668580502113848e-272,4.655151315962586e-22,5.7560342271970265e-19,1.143430896939861e-21,0.02657436353093095,16.781253287500142,26.196805089280414,26.196805089280414,26.196805089280414,47.12939217540803
278.0,10.0,8.0,-0.8432159232300039,0.22777522879162515,-0.9265698779804594,0.08335395475045548,0.9300252229185644,-0.6660885435027915,0.09785197498330042,0.09220836512420257,0.09216724729538273,0.016511034102035322,0.013287570818648588,0.010277635604844198,0.010485900092590839,0.009857140991479314,0.008327211500159573,-50.128691887606884,9.520864403596823,8.793557473368972,9.350302219989926,1.9827806825512868,1.333953497780599e-262,1.5344620998576157e-20,7.279505839225882e-18,6.743445592577527e-20,0.047695936619558024,16.781253287500135,26.196805089280417,26.196805089280417,26.196805089280417,47.12939217540802
279.0,10.0,9.0,-0.7464447410401952,-0.3410385119308901,-0.7310739943567043,-0.015370746683490921,0.9331445571211494,-0.6060730176106954,0.09323985351053242,0.08957460737915214,0.08844705857968505,0.015216180822682212,0.012774190972563567,0.010232448370937458,0.010514838527168927,0.010132931708112265,0.008479723255654714,-47.44511953143806,9.112174342883113,8.518876171774147,8.728674102172793,1.7944195068554014,5.2439845356659835e-247,5.138909552912299e-19,6.724178040204564e-17,1.2372034576944834e-17,0.07308211974828577,16.78125328750014,26.196805089280414,26.196805089280414,26.196805089280414,47.12939217540803
280.0,10.0,10.0,-0.6911837477914184,-0.03868765592397916,-0.7077947970340543,0.0166110492426359,0.9483968114974891,-0.5388138233017743,0.0882413559240216,0.08721964311825844,0.08649113610779718,0.01432714605110634,0.01224287441080722,0.010571061048103588,0.010934962715109705,0.010618939347183052,0.008665363176387298,-44.01040190579299,8.34744549506237,7.976217696448122,8.144988240350123,1.6533809096596357,1.725274545387839e-226,2.614674447017571e-16,4.574137680533338e-15,1.2621271845944136e-15,0.09860248886948365,16.78125328750014,26.196805089280414,26.196805089280414,26.196805089280414,47.12939217540802
281.0,10.0,11.0,-0.5052039359135241,-0.2417784035670315,-0.5135401886933764,0.008336252779852282,0.9653986701864729,-0.46741531158587185,0.08463055858524238,0.08407421987869604,0.08624481513645957,0.013055472526091506,0.01160703462381238,0.011522905514211128,0.01149860186089967,0.011205549752201071,0.00890514823232511,-40.27000235072507,7.34455025087796,7.3116906642872435,7.6966161450060735,1.466058979085939,1.7937121304554374e-203,4.627358538305683e-13,5.831593064003818e-13,3.6733216088598805e-14,0.14298189494531902,16.78125328750014,26.196805089280414,26.196805089280414,26.196805089280414,47.12939217540803
282.0,10.0,12.0,-0.5676233406929616,0.2569151226045183,-0.5946752700545357,0.02705192936157408,0.9732530042805194,-0.3924200420856357,0.08416380185408587,0.08237977163235763,0.08688004563381416,0.011005762098995562,0.011144732568226491,0.012596093371973762,0.011847249012726298,0.012179292107132266,0.009206159335856083,-35.21125694881373,6.681738485787178,6.953493721948901,7.13342326217274,1.195478124751806,2.2055054993590413e-171,4.136223702051085e-11,6.851068260259337e-12,2.013939936673116e-12,0.232215524063185,16.78125328750014,26.196805089280414,26.196805089280414,26.196805089280414,47.12939217540802
283.0,10.0,13.0,-0.47312789775896824,0.21014510266737096,-0.4641116876918698,-0.009016210067098462,0.9777070026498741,-0.31437344586353316,0.08433659102127744,0.08246917895000078,0.08788554648782701,0.008369965885382516,0.011010806739689533,0.013639823662789785,0.011993753601661107,0.013260029585953605,0.009613220209427752,-28.55135443712251,6.183114467333801,6.876010771021591,6.627854479368921,0.8706724388955568,3.9124439598284546e-128,9.52604526519015e-10,1.1511391999603638e-11,5.864529065811429e-11,0.3841654599883072,16.78125328750014,26.196805089280417,26.196805089280417,26.196805089280417,47.12939217540802
284.0,10.0,14.0,-0.1869165138009804,-0.22983332816649543,-0.20764693926302638,0.02073042546204598,0.9779869459146003,-0.23333593503934014,0.08517344074980775,0.08228198112017149,0.08900672188075742,0.006730719743235202,0.010993240882726617,0.01451585217200377,0.012096940513710411,0.013902125402932963,0.009793666037182578,-21.22540000064718,5.867615606755686,6.801883585929422,6.402382319323596,0.6872523238674251,2.301110173341339e-81,6.211457349321334e-09,1.8823412434366506e-11,2.461207592083003e-10,0.49210098643115885,16.78125328750014,26.196805089280414,26.196805089280414,26.196805089280414,47.12939217540802
