"GEOID","x","y","bachelor","popu","lnpop","age65","black","fb","rural","poverty","income","year","bachelor_mean","fb_mean","age65_mean","black_mean","rural_mean","income_mean","poverty_mean","lnpop_mean","bachelor_within","fb_within","age65_within","black_within","rural_within","income_within","poverty_within","lnpop_within","eventid"
13061,1038841.66258289,1010450.96265897,-1.07777998476582,-0.444174524111686,-1.4230142413698,2.27698107955987,1.93540223821061,-0.492687635153903,0.932454613759106,2.66723163071935,-1.91250633384434,2019,-1.22838037433816,-0.651654208371091,1.55578058738671,2.00317246356349,0.932454613759106,-1.54511491972017,2.8598750247969,-1.40171878757946,0.150600389572343,0.158966573217188,0.72120049217316,-0.0677702253528807,0,-0.367391414124163,-0.192643394077549,-0.021295453790348,150
13063,1071115.90302411,1229481.08721357,0.180321719583797,1.47357424389042,2.58198569209855,-1.94931760663042,2.18721187938573,2.35166895048141,-1.06470031370059,0.581851972100508,0.0225379701109551,2015,0.243149859867763,2.1365932277054,-1.80566486096118,2.27872141107694,-1.0646480787474,0.234216772738395,0.12795836235879,2.6044688092373,-0.0628281402839661,0.215075722776008,-0.143652745669243,-0.0915095316912042,-5.22349531859589e-05,-0.21167880262744,0.453893609741717,-0.0224831171387581,151
13063,1071115.90302411,1229481.08721357,0.234824891344824,1.49559748227839,2.59118813170455,-1.86577720219074,2.25962336926687,2.18008985300996,-1.0676915293696,0.463244501373945,0.156527779968003,2016,0.243149859867763,2.1365932277054,-1.80566486096118,2.27872141107694,-1.0646480787474,0.234216772738395,0.12795836235879,2.6044688092373,-0.00832496852293868,0.0434966253045568,-0.0601123412295554,-0.019098041810067,-0.00304345062220013,-0.0776889927703923,0.335286139015155,-0.0132806775327534,152
13063,1071115.90302411,1229481.08721357,0.241426970246225,1.52375965301436,2.60280631659815,-1.80979757002637,2.29660171951408,2.10971107337514,-1.06506352751574,0.112235328641649,0.198007455756215,2017,0.243149859867763,2.1365932277054,-1.80566486096118,2.27872141107694,-1.0646480787474,0.234216772738395,0.12795836235879,2.6044688092373,-0.0017228896215386,-0.0268821543302602,-0.00413270906518792,0.0178803084371486,-0.000415448768332993,-0.0362093169821803,-0.0157230337171407,-0.00166249263915175,153
13063,1071115.90302411,1229481.08721357,0.284503589173401,1.55652965122196,2.61612016316066,-1.7348987252178,2.32147634060904,2.0194989287623,-1.06250207716838,-0.152697278850185,0.297767818870385,2018,0.243149859867763,2.1365932277054,-1.80566486096118,2.27872141107694,-1.0646480787474,0.234216772738395,0.12795836235879,2.6044688092373,0.0413537293056379,-0.1170942989431,0.0707661357433791,0.0427549295321064,0.00214600157902844,0.0635510461319899,-0.280655641208976,0.0116513539233525,154
13063,1071115.90302411,1229481.08721357,0.274672128990569,1.59188293538214,2.63024374262461,-1.66853320074057,2.32869374660895,2.0219973328982,-1.06328294598271,-0.364842711471967,0.496242838986418,2019,0.243149859867763,2.1365932277054,-1.80566486096118,2.27872141107694,-1.0646480787474,0.234216772738395,0.12795836235879,2.6044688092373,0.0315222691228055,-0.114595894807205,0.137131660220607,0.0499723355320163,0.00136513276469041,0.262026066248023,-0.492801073830757,0.0257749333873112,155
13065,1262974.2324823,959478.484777048,-0.2487572470376,-0.41630986664553,-1.83022324260413,-0.335389639475349,-0.0975951823900755,-0.627050395707994,0.932454613759106,2.02174867426892,-0.92354720656438,2015,-0.47403274294309,-0.431401955638398,-0.228499026921916,-0.0562670332941566,0.932454613759106,-1.34643075838168,2.43006840108989,-1.83343978573902,0.22527549590549,-0.195648440069597,-0.106890612553433,-0.0413281490959189,0,0.4228835518173,-0.408319726820971,0.00321654313489339,156
13065,1262974.2324823,959478.484777048,-0.215869886354205,-0.416142968957581,-1.8274680608029,-0.233322900525763,-0.0885201584708797,-0.400808076175321,0.932454613759106,2.06173577041619,-1.23809560514659,2016,-0.47403274294309,-0.431401955638398,-0.228499026921916,-0.0562670332941566,0.932454613759106,-1.34643075838168,2.43006840108989,-1.83343978573902,0.258162856588885,0.0305938794630768,-0.00482387360384715,-0.0322531251767232,0,0.108335153235095,-0.368332630673701,0.00597172493612064,157
13065,1262974.2324823,959478.484777048,-0.446463921606911,-0.416331635909175,-1.83058330190259,-0.212796870259997,-0.0567103390896798,-0.408378076154442,0.932454613759106,2.67085041257403,-1.5143014462775,2017,-0.47403274294309,-0.431401955638398,-0.228499026921916,-0.0562670332941566,0.932454613759106,-1.34643075838168,2.43006840108989,-1.83343978573902,0.027568821336179,0.0230238794839559,0.0157021566619189,-0.000443305795523277,0,-0.167870687895822,0.24078201148414,0.00285648383643222,158
13065,1262974.2324823,959478.484777048,-0.556228836873687,-0.416658174863857,-1.83600337044129,-0.223772249067923,-0.0421103240359195,-0.387130272427011,0.932454613759106,2.62761930734669,-1.48997135073114,2018,-0.47403274294309,-0.431401955638398,-0.228499026921916,-0.0562670332941566,0.932454613759106,-1.34643075838168,2.43006840108989,-1.83343978573902,-0.0821960939305962,0.0442716832113864,0.00472677785399281,0.0141567092582371,0,-0.14354059234946,0.197550906256795,-0.00256358470227291,159
